Case_ID,Activity,Order,Machine_Elec,kW,duration,Machine_Steam,Machine_LPG,Machine_Diesel,Machine_Gasoline,Machine_Kerosene,Heat,Waste,Worker,carbon_reduction_device,kWh
682.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
682.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
682.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
682.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
683.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
683.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
683.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
683.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
683.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
683.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
683.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
683.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
683.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
683.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
684.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
684.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
684.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
684.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
684.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
684.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
684.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
684.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
684.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
684.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
685.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
685.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
685.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
685.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
685.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
685.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
685.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
685.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
685.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
685.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
686.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
686.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
686.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
686.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
686.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
686.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
686.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
686.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
686.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
686.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
687.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
687.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
687.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
687.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
687.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
687.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
687.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
687.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
687.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
687.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
688.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
688.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
688.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
688.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
688.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
688.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
688.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
688.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
688.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
688.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
689.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
689.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
689.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
689.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
689.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
689.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
689.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
689.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
689.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
689.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
690.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
690.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
690.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
690.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
690.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
690.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
690.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
690.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
690.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
690.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
691.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
691.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
691.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
691.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
691.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
691.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
691.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
691.0,Coating (MachineH.2),7.0,MachineH.2,25,40.00000001,,Dryer.3,,,,9,8,4,241,
691.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
691.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
692.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
692.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
692.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
692.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
692.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
692.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
692.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
692.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
692.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
692.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
693.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
693.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
693.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
693.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
693.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
693.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
693.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
693.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
693.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
693.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
694.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
694.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
694.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
694.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
694.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
694.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
694.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
694.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
694.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
694.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
695.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
695.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
695.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
695.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
695.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
695.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
695.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
695.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
695.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
695.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
696.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
696.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
696.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
696.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
696.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
696.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
696.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
696.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
696.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
696.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
697.0,Base Mixer (MachineA.3),0.0,MachineA.3,30,10.0,,,,,Boiler.1,8,9,1,238,
697.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
697.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
697.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
697.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
697.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
697.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
697.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
697.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
697.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
698.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
698.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
698.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
698.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
698.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
698.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
698.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
698.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
698.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
698.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
699.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
699.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
699.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
699.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
699.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
699.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
699.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
699.0,Coating (MachineH.2),7.0,MachineH.2,25,40.00000001,,Dryer.3,,,,9,8,4,241,
699.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
699.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
700.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
700.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
700.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
700.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
700.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
700.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
700.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
700.0,Coating (MachineH.2),7.0,MachineH.2,25,40.00000001,,Dryer.3,,,,9,8,4,241,
700.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
700.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
701.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
701.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
701.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
701.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
701.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
701.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
701.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
701.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
701.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
701.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
702.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
702.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
702.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
702.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
702.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
702.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
702.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
702.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
702.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
702.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
703.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
703.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
703.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
703.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
703.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
703.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
703.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
703.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
703.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
703.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
704.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
704.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
704.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
704.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
704.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
704.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
704.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
704.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
704.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
704.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
705.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
705.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
705.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
705.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
705.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
705.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
705.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
705.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
705.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
705.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
706.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
706.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
706.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
706.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
706.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
706.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
706.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
706.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
706.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
706.0,Cutting (MachineJ.2),9.0,MachineJ.2,10,20.0,Cleaner.2,,,,,6,6,1,246,
707.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
707.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
707.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
707.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
707.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
707.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
707.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
707.0,Coating (MachineH.3),7.0,MachineH.3,35,30.0,,Dryer.4,,,,7,8,1,257,30.0
707.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
707.0,Cutting (MachineJ.1),9.0,MachineJ.1,10,15.0,Cleaner.1,,,,,5,5,1,211,
708.0,Base Mixer (MachineA.2),0.0,MachineA.2,25,10.0,,,,,Boiler.1,5,6,4,205,
